NODE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,803.2989535,627.3194777,362.6438489,506.3722701,942.655751,462.6658389,179.559435,282.1693442,61.0118129,298.5330104,745.1288712,395.7547785,794.2657967,114.7682582,568.0503355,360.9635141,367.909801,527.3113134,967.2387643,300.8559118,354.1090905,708.4978239,309.0771914,70.49788393,469.7074212,609.3748941,936.5828129,213.4680919,287.710984,852.7514752,864.9634702,485.5901967,191.0837326,443.2602632,175.6293544,401.8604641,813.3484915,545.2314948,305.1085208,237.0047807,138.7915005,696.0142568,477.1081173,856.3272658,624.2166738,182.9334803,115.6890298,603.8983838,120.897365,283.6384893,532.6462257,906.9426526,643.9011647,847.9730244,167.9598744,154.4127758,93.94431016,391.2373086,303.5684859,536.0824609,673.4040752,338.5615802,383.1076425,674.0076969,49.73406349,821.2001011,453.5996668,139.0922195,886.6580263,443.0484251,19.6938424,365.7537401,638.8934013,957.2045294,59.7801909,27.1849934,592.1475546,502.8798202,151.5754345,970.5287424,9.372734041,394.4804389,324.7055739,160.5070216,310.5334749,981.2602176,276.9630399,699.0212003,552.7592275,989.1143732,943.8911308,490.8151823,793.2578859,561.6980766,34.64544164,123.6368579
1,929.8387798,127.4956108,783.6635493,807.5374347,623.1095528,535.0327015,902.1596165,886.9258949,205.5871009,759.5860499,734.2073806,117.7814681,613.664672,596.0502874,261.4001212,239.8995961,211.367294,152.310578,650.8223476,802.2653813,736.0535187,998.2903129,163.7490504,678.1042313,369.8992243,623.59849,449.2806568,575.0640425,457.5828306,267.5522082,591.6379485,269.1732736,824.9725408,707.1501775,867.8902374,955.4284929,607.309809,472.0212096,516.2197101,127.817866,919.2616862,615.5297704,202.08517,145.9291361,155.5523384,526.3507686,249.8072169,459.9971191,913.8619863,697.5397384,16.70272714,111.7976045,622.4496496,702.6791807,595.7980443,667.540986,373.7858385,225.9856078,312.2393357,929.0345019,977.2598035,41.1030232,737.9971411,421.8506806,276.4836951,715.4322222,291.3810769,604.0714884,31.25417421,280.7931505,966.197951,731.1908611,11.48334609,550.3849314,782.0482903,602.7547122,473.6462807,459.8847022,216.7964355,541.3247846,733.6898891,120.9023755,525.6540622,660.6537663,512.276564,153.3561731,939.3090718,383.2475781,987.4650223,106.6228953,174.4587325,156.8344145,96.98378663,92.19143695,120.478041,300.1602992
2,999.7184455,121.6894289,150.7434459,516.5984575,397.9144333,759.1823609,375.7649664,179.0004561,787.317665,572.9244724,564.4218344,161.0331991,505.2435322,310.2343639,160.3363075,611.4978435,616.8750966,729.2598598,827.7883751,379.159126,536.7521584,359.9384023,532.6546996,969.4521517,410.9523236,571.0702633,96.32336072,90.23761914,16.49737156,426.4397591,947.9490736,371.772667,330.7230531,731.3390928,458.8053709,310.7562007,215.7097743,75.48465931,535.7921883,953.6738661,41.43961358,606.531666,240.2929303,42.41265696,369.8724669,530.593428,979.1994577,656.1915785,438.9367714,653.2953671,151.26618,580.1179428,63.06071808,870.4861574,852.3799022,610.083964,645.4576519,868.5313652,259.3143129,978.7222288,730.3661898,488.5157037,307.4000411,580.604963,593.4207249,588.0330431,816.7059983,0.591159088,655.001795,629.3766526,462.4846033,228.2235335,833.7848297,747.9308758,152.8065494,200.2880834,715.4678847,76.67981926,91.04290103,179.2668443,240.3733184,962.4494083,792.3230416,240.6074064,4.232051145,161.6126881,936.2629674,22.48491465,694.4409452,588.7356762,772.9619488,544.2709719,549.4252019,23.65990597,648.4323948,744.6801356
3,503.2488247,197.1323344,716.8639464,408.2253666,522.3222876,783.2808629,395.6495942,923.1734877,474.8115909,423.7457663,693.7636308,66.67849326,606.0648176,462.0151205,82.83760272,563.568707,833.4017465,63.10859766,461.7301085,83.82055446,897.1079414,884.2897477,661.2730834,711.8580382,123.9172127,326.2400589,299.5649804,263.9477292,307.9881018,718.7487865,618.7476644,553.8833784,854.5909453,436.8752976,477.4210789,508.105798,292.6007448,500.1991588,735.4388487,928.5591777,674.6299104,218.5162925,92.37816882,0.329603625,286.200665,440.5607503,720.7561136,878.8301657,171.5246364,276.8964164,828.3132316,361.4829709,753.0577637,346.5546971,65.30300549,232.9473115,170.7027746,860.3060241,452.9612317,870.2954251,357.6807517,84.26001001,295.9250027,107.3156956,963.2798247,186.2740738,433.6987163,51.20028784,586.850856,978.6818157,409.9017177,309.2474147,131.6553449,530.1349682,195.498913,217.5043689,111.7345707,819.1443391,460.7517031,833.7461748,836.3763282,596.6603347,788.8667339,754.5818558,473.9514316,852.8321424,544.3594286,304.6096474,748.1001274,408.6402922,797.1614407,392.8657407,131.6905231,854.9294461,655.1060662,391.6006224
4,193.0877658,928.4280467,389.6796736,345.3693358,808.9594025,866.0507087,191.7473656,217.2915889,665.7379215,809.3115733,776.5062482,26.01273386,964.9273809,85.09411544,665.0838528,215.5208609,988.486283,690.8409134,281.4237518,104.0055155,97.97709682,798.2850647,757.9792061,387.7278537,826.9356221,360.0713544,820.6273293,280.3293432,481.1510009,248.4376732,949.4295003,591.3346342,341.8000641,545.9734792,807.249361,15.53723769,135.0831442,380.1376433,474.5515482,670.3669627,638.9378023,976.9410964,784.7426548,593.3564251,509.9549369,229.0441978,221.4508102,899.5141448,537.9878697,787.8177938,805.7753597,543.9543906,212.5147968,21.94250806,593.4706377,820.7454723,670.4680242,461.8776298,235.2502755,644.7222873,512.8268711,621.175413,527.2035192,988.8093222,63.73158208,217.6740531,961.3420336,157.7427432,817.8670555,165.1893011,286.2173077,187.3847531,481.473329,432.3510514,751.7392192,145.9488017,631.1844534,262.5586709,533.4974385,855.146876,331.6652166,806.5649682,133.1566192,549.0428761,108.8726209,902.5906602,227.2884365,801.789458,674.7442088,330.0173115,441.2167552,451.7233487,276.9920274,770.8858893,133.1196131,428.7049324
5,802.8367117,463.010507,698.9579336,360.1043109,771.0228338,645.0004652,784.4687044,974.6976125,782.6677995,78.91765096,177.8486558,762.5384564,300.5679243,731.8364276,273.9453203,810.8860467,729.5842834,218.7776854,113.8094861,346.8588115,795.2083629,540.349528,782.7144496,254.8183657,380.0800443,681.6195986,789.1444301,526.6665446,480.7416511,299.7211575,28.75969167,592.1831584,860.2449929,531.5993254,257.4152047,30.298891,709.902277,473.0750009,399.7924021,485.4726093,74.60550206,394.4223697,269.904529,235.702668,108.3895808,473.729532,618.9118071,680.3402298,279.3232763,436.6457442,261.5031594,192.9081282,372.6777213,798.3575438,677.0123067,467.4042222,480.9174119,817.6874203,505.5724385,410.571358,830.6946966,772.7471222,425.3907454,963.5395731,423.9596027,259.7841688,263.9151408,249.961561,571.9115808,381.1443607,805.5373047,797.4376689,98.84461457,873.6860509,629.6271678,621.5505174,33.47388581,405.1025233,141.3191701,647.2770979,11.0762329,200.1867666,949.0802522,725.9183155,867.5901985,673.3197062,156.1298464,944.2969063,307.3595325,75.51584982,171.0682178,986.6509621,371.8746664,997.4799818,740.4084514,126.7825405
6,745.5782785,941.2690013,657.708188,185.0913153,208.0446057,746.4005281,770.2178499,701.0195815,90.50419827,816.6973236,831.9240248,763.5551851,204.077824,655.5567199,934.817136,93.34925699,135.755023,894.5982405,331.6041709,103.6696277,32.50428311,771.856592,276.5387943,511.3987974,531.1775938,488.7962803,406.8905576,447.889556,974.5257825,796.3662625,498.0981806,530.9953263,560.7578607,335.5364838,827.0831566,960.9066894,618.975942,349.0488181,48.31479709,365.3600203,57.65754487,552.8335487,304.2795039,937.8879662,302.336443,825.4643699,502.6524791,841.464435,331.1896744,775.8835099,774.7714302,562.459488,641.9872819,483.9906916,313.8291548,159.6433827,547.4820232,455.0153854,777.7062978,975.5939534,265.8964205,237.6464734,960.1684875,229.256767,332.3601402,727.8916347,769.2217498,788.7806214,832.7945671,454.3662216,393.0915319,753.3810058,851.3596428,779.3272588,19.04889124,148.9642746,736.681812,906.8245406,276.2794024,953.3885761,89.20076635,325.4721132,125.945009,228.431426,653.4528029,641.9498873,222.9450723,408.7608078,637.2233495,9.448382808,752.632864,693.2053508,3.865495256,552.5130126,389.2432284,646.8419339
7,596.4035783,535.9575116,502.6127918,812.1912152,154.2779925,32.70502992,849.7482684,142.6166347,669.7393566,580.4580966,331.3353455,329.8222379,907.5056532,940.0384639,806.6735824,496.6924434,700.7283135,378.8672904,488.7295479,115.7421438,210.1710716,177.8116148,677.3881038,525.4203354,879.975015,513.9867649,652.8486673,727.3582639,185.8337696,646.9571,535.7775189,509.3848361,503.8629214,528.901705,92.80825338,705.6361722,702.0895683,178.9044186,621.8777884,46.16370452,461.6644917,462.0704644,810.0968008,123.9530349,38.53996262,495.182914,844.9018867,172.1266103,497.8315923,519.3307549,263.4617866,187.4649042,557.5698834,851.692622,763.7592205,204.7985242,793.9685266,320.8437681,198.8020251,762.4830077,95.39350119,944.2730352,222.0393527,758.5617152,369.0787824,747.4114742,379.2777336,742.0853641,579.7334061,563.663372,644.0309215,238.2272232,476.6696543,144.2806264,687.5885485,385.0508812,303.5663583,151.8529735,384.7522224,881.1812013,109.6972243,715.5841328,585.6775998,775.4880385,535.1768597,258.6449671,606.0127034,319.488334,405.7669845,421.2440474,645.3554093,962.4048466,817.531414,985.0706405,289.9312545,420.5995425
8,811.0643609,309.8731656,279.2184888,810.0168548,66.59284825,136.670406,573.3647933,833.0046477,492.5530955,611.2090491,225.4686376,224.1928616,175.7973027,776.7373699,123.2704058,437.6251399,664.6161732,641.3718562,980.0451132,25.60013794,685.8490601,745.8003046,24.12504478,916.1792962,631.533361,157.8096801,465.0155001,218.9488289,5.419230513,897.3942978,897.0223129,342.3624469,882.2250102,949.8713784,325.2041809,214.2716953,179.4120347,882.2371329,897.4715398,242.5610833,794.133418,902.0158787,774.0589653,89.64715176,951.7411687,997.1777653,282.2605254,298.1026419,489.1892289,528.1552765,183.8141306,305.2202863,263.211217,410.8543201,931.7082685,545.1819062,334.754527,250.892522,194.6806649,203.6066832,961.7311556,601.4053723,921.9247045,428.0484366,400.5158992,586.6071653,525.3316886,583.1895385,639.6478061,525.0528712,577.7085865,608.5582557,678.062264,784.6540345,513.9807865,79.3279046,895.4743857,983.43411,219.5283242,75.831604,137.4682727,695.177942,745.3876771,360.9551793,868.0606343,629.6271077,969.4042466,904.5457572,110.0027495,476.4599019,315.7526047,35.84975942,159.7446586,824.855719,868.6249584,233.0272255
9,209.5231835,211.7062341,956.4805543,108.3520704,847.9874676,363.7912491,712.7497622,910.2324183,641.2744934,679.5887248,474.4914559,371.6835561,909.6839692,988.626171,338.0348105,204.170652,334.0870794,672.4870491,646.0990696,386.7717729,526.6643569,689.0300775,581.2088765,688.2139079,698.3916039,24.62003424,970.4046664,906.1460101,716.2675846,910.7192031,281.9136954,538.0746091,798.3465537,178.3589783,500.1030217,929.2739217,70.5411172,449.0753115,96.37246551,760.8172962,782.6091983,533.3747675,957.1516754,138.2788191,632.7699332,559.2431219,514.3221525,484.6284114,858.0281129,772.4227601,344.944136,924.8303374,795.2500949,338.6729663,994.2557317,564.442722,597.1999415,145.9199649,594.6438125,61.06090407,571.9335046,225.0915311,627.6259083,259.1653064,360.8029252,911.4148712,567.97375,778.0234357,661.2551411,532.6840713,358.3256213,832.4884287,759.6613509,989.3115557,66.30917055,884.8949179,756.2018332,124.6522192,84.93053535,186.7929783,29.76483998,284.3108132,186.1872054,624.0643205,993.2998606,510.0253257,15.55183525,191.4541794,842.6281026,172.2891141,457.4156193,360.8637988,384.1604282,326.6894696,258.5126448,609.4981618
