node,dist,prev
24,54.336613841,49
25,91.571054085,62
26,114.343614873,14
27,96.750375241,58
20,88.712514812,56
21,56.81800166,75
22,85.13685768,8
23,70.49788393,0
28,66.431043413,8
29,63.853091137,76
0,0,-
4,94.77492311099999,17
8,61.0118129,0
59,98.408606811,33
58,61.303185341,15
55,129.060905413,61
54,154.955071251,18
57,79.078661508,56
56,69.782837492,73
51,82.52750948,76
50,78.788314528,13
53,81.68581879,75
52,42.454858727,94
88,77.316478361,80
89,68.083557077,52
82,91.369495,21
83,80.072507301,49
80,9.372734041,0
81,70.632720216,32
86,96.07260339999999,75
87,95.502329871,10
84,108.470499041,33
85,79.257250529,50
3,124.706327481,72
7,75.241005129,78
39,107.892424551,87
38,132.919814896,6
33,85.062609471,24
32,68.755912166,66
31,63.770807005,48
30,82.568598977,52
37,85.657836192,51
36,88.570890176,12
35,101.994115705,5
34,19.523835611,80
60,89.281068922,56
61,88.062700893,47
62,90.810822291,73
63,49.446500581,80
64,49.73406349,0
65,99.108448091,80
66,63.641302727,52
67,94.180437849,33
68,92.630417351,49
69,54.642436110999995,49
2,112.228897381,34
6,84.605017806,32
91,96.86157232,8
90,96.490900861,49
93,135.888803351,2
92,139.209179031,65
95,101.538214589,27
94,34.64544164,0
11,110.746552711,33
10,85.152256981,34
13,65.197993028,29
12,50.817832766,52
15,52.10823905,94
14,106.250411251,41
17,54.404707581,49
16,66.56016266,75
19,96.895232697,30
18,59.840171541000004,49
48,47.985910105,52
49,34.888101391,34
46,96.406123142,61
47,79.625371223,28
44,72.684806099,78
45,58.556570015000005,48
42,92.593539317,29
43,125.035931106,3
40,53.46862729,75
41,102.58826064,94
1,104.00375056,67
5,71.695224705,48
9,76.966031911,49
77,79.91011280000001,40
76,63.47940795,40
75,27.1849934,0
74,59.7801909,0
73,61.701399771,34
72,115.48709665,1
71,97.59747838,40
70,19.6938424,0
79,132.97968099,71
78,61.391927929,74
